IDELST;NOM_AGENCE;NUM_AGENCE;ADRESSE1_AGENCE;ADRESSE2_AGENCE;CP_COMMUNE_AGENCE;NIVEAU;CP;ville;Long;Lat;NCOMMUNE;IRIS_code;idexel
003661593543207C016EF20000000C;COMPIEGNE OISE;160250201;;17 RUE SADI CARNOT;77124 VILLENOY;6;77124;VILLENOY;2.869194;48.953521;77;775130000;390
F0F6F0F0F1F6F34040404040404040;FIL SERVICE 80;969392392;BATIMENT CYTISES;ALLEE DE LA PEPINIERE;80480 DURY;6;80480;DURY;2.27892;49.86092;80;802610000;163
F0F6F0F0F1F6F44040404040404040;BRIE PICARDIE DIRECT;969323340;BATIMENT CYTISES;ALLEE DE LA PEPINIERE;80480 DURY;6;80480;DURY;2.27892;49.86092;80;802610000;164
F0F6F0F0F1F7F24040404040404040;FIL ASSUR;969390010;;29 RUE DE LA CRECHE;77100 MEAUX;6;77100;MEAUX;2.88556;48.95615;77;772840701;172
F0F6F0F0F1F7F94040404040404040;FIL SERVICE 77;969392392;;29 RUE DE LA CRECHE;77100 MEAUX;6;77100;MEAUX;2.88556;48.95615;77;772840701;179
F0F6F0F0F1F8F14040404040404040;FIL CREDIT;969360660;;29 RUE DE LA CRECHE;77100 MEAUX;6;77100;MEAUX;2.88556;48.95615;77;772840701;181
F0F6F0F0F2F0F04040404040404040;AMIENS CROIX ROMPUE;322223960;;500 RUE SAINT FUSCIEN;80095 AMIENS CEDEX 3;6;80095;AMIENS CEDEX 3;2.30586;49.86946;80;800210701;200
F0F6F0F0F2F0F14040404040404040;AMIENS PIERRE ROLLIN;322503079;CTRE CIAL;RUE DU 8 MAI 1945;80090 AMIENS;6;80090;AMIENS;2.310706;49.87455;80;800210801;201
F0F6F0F0F2F0F34040404040404040;AMIENS FAUBOURG DE HEM;322526129;;91 RUE D ABBEVILLE;80000 AMIENS;6;80000;AMIENS;2.267656;49.906919;80;800210301;203
F0F6F0F0F2F0F64040404040404040;AILLY SUR SOMME;322394055;;2 RUE PIERRE BROSSOLETTE;80470 AILLY SUR SOMME;6;80470;AILLY SUR SOMME;2.19972;49.92773;80;800110000;206
