"","rank","year","continent","economy","port","port_label","lon","lat","volume"
"1",1,"2014","Asia","China","Shanghai","Shanghai",121.473701,31.230416,35268
"2",2,"2014","Asia","Singapore","Singapore","Singapore",103.819836,1.352083,33869
"3",3,"2014","Asia","China","Shenzhen","Shenzhen",114.057865,22.543096,23798
"4",4,"2014","Asia","Hong Kong","Hong Kong","Hong Kong",114.109497,22.396428,22374
"5",5,"2014","Asia","China","Ningbo-Zhoushan","Ningbo/Z-shan",121.9880433,29.9016199,19450
"6",6,"2014","Asia","South Korea","Busan","Busan",129.0756416,35.1795543,18423
"7",7,"2014","Asia","China","Qingdao","Qingdao",120.382609,36.067108,16624
"8",8,"2014","Asia","China","Guangzhou","Guangzhou",113.264385,23.12911,16160
"9",9,"2014","Asia","United Arab Emirates","Jebel Ali (Dubai)","Dubai",55.0272904,24.9857145,14750
"10",10,"2014","Asia","China","Tianjin","Tianjin",117.200983,39.084158,14050
"11",11,"2014","Europe","Netherlands","Rotterdam","Rotterdam",4.4777325,51.9244201,12453
"12",12,"2014","Asia","Malaysia","Port Klang","Port Klang",101.39283,2.999852,10736
"13",13,"2014","Asia","Taiwan","Kaohsiung","Kaohsiung",120.3014353,22.6272784,10593
"14",14,"2014","Asia","China","Dalian","Dalian",121.614682,38.914003,10128
"15",15,"2014","Europe","Germany","Hamburg","Hamburg",9.9936818,53.5510846,9729
"16",16,"2014","Europe","Belgium","Antwerp","Antwerp",4.4024643,51.2194475,9136
"17",17,"2014","Asia","China","Xiamen","Xiamen",118.089425,24.479834,8572
"18",18,"2014","North_America","United States","Los Angeles","Los Angeles",-118.2436849,34.0522342,8340
"19",19,"2014","Asia","Malaysia","Tanjung Pelepas","Tanjung Pelepas",103.551035,1.362374,7897
"20",20,"2014","North_America","United States","Long Beach","Long Beach",-118.1937395,33.7700504,6821
"21",21,"2014","Asia","Thailand","Laem Chabang","Laem Chabang",100.9158073,13.1040552,6518
"22",22,"2014","Asia","Vietnam","Ho Chi Minh City (Saigon)","Saigon",106.6296638,10.8230989,6334
"23",23,"2014","Europe","Germany","Bremen/Bremerhaven","Bremen",8.5809424,53.5395845,5796
